time,entry,sl,tp,trailing_sl,risk_pips,spread,exit_price,exit_time,status,exit_rr,exit_type,balance_before,risk_amount,risky_ticks,profit,balance_after,withdrawal,total_withdrawn,investment,total_invested,total_equity,direction,duration,pips
2025-01-28 13:15:00+00:00,6033.0,6027.8,6043.4,6030.4,5.2,0.7,6030.4,2025-01-28 13:35:00+00:00,loss,-0.5000000000000875,TSL,"$10,000.00",$500.00,5.199999999999818,$-250.00,"$9,750.00",$0.00,$0.00,$0.00,"$10,000.00","$9,750.00",bullish,0 days 00:20:00,-2.600000000000364
2025-01-28 23:20:00+00:00,6065.4,6066.8,6062.5999999999985,6062.300000000001,1.4,0.7,6062.300000000001,2025-01-29 00:00:00+00:00,win,2.214285714283812,TSL,"$9,750.00",$487.50,1.4000000000005457,"$1,079.46","$10,829.46",$0.00,$0.00,$0.00,"$10,000.00","$10,829.46",bearish,0 days 00:40:00,3.099999999998545
2025-01-29 08:20:00+00:00,6078.1,6074.4,6085.500000000002,,3.7,0.5,6074.4,2025-01-29 08:35:00+00:00,loss,-1.0,SL,"$10,829.46",$541.47,3.7000000000007276,$-541.47,"$10,287.99",$0.00,$0.00,$0.00,"$10,000.00","$10,287.99",bullish,0 days 00:15:00,-3.7000000000007276
2025-01-29 08:40:00+00:00,6076.6,6074.2,6081.4000000000015,,2.4,0.5,6074.2,2025-01-29 09:00:00+00:00,loss,-1.0,SL,"$10,287.99",$514.40,2.4000000000005457,$-514.40,"$9,773.59",$0.00,$0.00,$0.00,"$10,000.00","$9,773.59",bullish,0 days 00:20:00,-2.4000000000005457
2025-01-29 10:55:00+00:00,6075.6,6074.0,6078.800000000001,,1.6,0.5,6074.0,2025-01-29 11:00:00+00:00,loss,-1.0,SL,"$9,773.59",$488.68,1.6000000000003638,$-488.68,"$9,284.91",$0.00,$0.00,$0.00,"$10,000.00","$9,284.91",bullish,0 days 00:05:00,-1.6000000000003638
2025-01-29 11:05:00+00:00,6074.9,6073.6,6077.499999999998,6073.6500000000015,1.3,0.5,6073.6500000000015,2025-01-29 11:10:00+00:00,loss,-0.9615384615376005,TSL,"$9,284.91",$464.25,1.2999999999992724,$-446.39,"$8,838.52",$0.00,$0.00,$0.00,"$10,000.00","$8,838.52",bullish,0 days 00:05:00,-1.249999999998181
2025-01-29 12:05:00+00:00,6075.4,6074.8,6076.5999999999985,,0.6,0.5,6074.8,2025-01-29 12:10:00+00:00,loss,-1.0,SL,"$8,838.52",$441.93,0.5999999999994543,$-441.93,"$8,396.60",$0.00,$0.00,$0.00,"$10,000.00","$8,396.60",bullish,0 days 00:05:00,-0.5999999999994543
2025-01-29 14:35:00+00:00,6055.2,6063.0,6039.599999999999,6061.300000000001,7.8,0.4,6061.300000000001,2025-01-29 15:05:00+00:00,loss,-0.782051282051427,TSL,"$8,396.60",$419.83,7.800000000000182,$-328.33,"$8,068.27",$0.00,$0.00,$0.00,"$10,000.00","$8,068.27",bearish,0 days 00:30:00,-6.100000000001273
2025-01-29 15:10:00+00:00,6062.4,6063.6,6059.999999999998,6057.9000000000015,1.2,0.4,6057.9000000000015,2025-01-29 15:15:00+00:00,win,3.7499999999962106,TSL,"$8,068.27",$403.41,1.2000000000007276,"$1,512.80","$9,581.07",$0.00,$0.00,$0.00,"$10,000.00","$9,581.07",bearish,0 days 00:05:00,4.499999999998181
2025-01-30 02:55:00+00:00,6062.3,6061.3,6064.3,6062.5,1.0,0.5,6062.5,2025-01-30 03:15:00+00:00,win,0.1999999999998181,TSL,"$9,581.07",$479.05,1.0,$95.81,"$9,676.88",$0.00,$0.00,$0.00,"$10,000.00","$9,676.88",bullish,0 days 00:20:00,0.1999999999998181
2025-01-30 03:45:00+00:00,6062.8,6061.8,6064.8,6064.1,1.0,0.5,6064.1,2025-01-30 04:30:00+00:00,win,1.300000000000182,TSL,"$9,676.88",$483.84,1.0,$629.00,"$10,305.88",$0.00,$0.00,$0.00,"$10,000.00","$10,305.88",bullish,0 days 00:45:00,1.300000000000182
2025-01-30 05:40:00+00:00,6062.0,6060.2,6065.6,6060.5,1.8,0.5,6060.5,2025-01-30 06:10:00+00:00,loss,-0.8333333333332491,TSL,"$10,305.88",$515.29,1.800000000000182,$-429.41,"$9,876.46",$0.00,$0.00,$0.00,"$10,000.00","$9,876.46",bullish,0 days 00:30:00,-1.5
2025-01-30 07:55:00+00:00,6064.0,6065.0,6062.0,,1.0,0.7,6065.0,2025-01-30 08:00:00+00:00,loss,-1.0,SL,"$9,876.46",$493.82,1.0,$-493.82,"$9,382.64",$0.00,$0.00,$0.00,"$10,000.00","$9,382.64",bearish,0 days 00:05:00,-1.0
2025-01-30 09:55:00+00:00,6062.8,6061.8,6064.8,,1.0,0.5,6061.8,2025-01-30 10:00:00+00:00,loss,-1.0,SL,"$9,382.64",$469.13,1.0,$-469.13,"$8,913.51",$0.00,$0.00,$0.00,"$10,000.00","$8,913.51",bullish,0 days 00:05:00,-1.0
2025-01-30 10:05:00+00:00,6064.5,6061.8,6069.9,,2.7,0.5,6061.8,2025-01-30 10:15:00+00:00,loss,-1.0,SL,"$8,913.51",$445.68,2.699999999999818,$-445.68,"$8,467.83",$0.00,$0.00,$0.00,"$10,000.00","$8,467.83",bullish,0 days 00:10:00,-2.699999999999818
2025-01-30 10:25:00+00:00,6060.7,6059.2,6063.7,6061.95,1.5,0.7,6061.95,2025-01-30 10:45:00+00:00,win,0.8333333333333334,TSL,"$8,467.83",$423.39,1.5,$352.83,"$8,820.66",$0.00,$0.00,$0.00,"$10,000.00","$8,820.66",bullish,0 days 00:20:00,1.25
2025-01-30 11:00:00+00:00,6060.0,6059.1,6061.799999999999,6065.250000000001,0.9,0.5,6065.250000000001,2025-01-30 11:25:00+00:00,win,5.833333333336702,TSL,"$8,820.66",$441.03,0.8999999999996362,"$2,572.69","$11,343.35",$50.00,$50.00,$0.00,"$10,000.00","$11,393.35",bullish,0 days 00:25:00,5.2500000000009095
2025-01-30 12:00:00+00:00,6059.8,6058.6,6062.2,,1.2,0.5,6058.6,2025-01-30 12:05:00+00:00,loss,-1.0,SL,"$11,343.35",$567.17,1.199999999999818,$-567.17,"$10,776.18",$0.00,$50.00,$0.00,"$10,000.00","$10,826.18",bullish,0 days 00:05:00,-1.199999999999818
2025-01-30 12:10:00+00:00,6057.5,6054.2,6064.1,,3.3,0.5,6054.2,2025-01-30 12:15:00+00:00,loss,-1.0,SL,"$10,776.18",$538.81,3.300000000000182,$-538.81,"$10,237.38",$0.00,$50.00,$0.00,"$10,000.00","$10,287.38",bullish,0 days 00:05:00,-3.300000000000182
2025-01-30 13:00:00+00:00,6055.3,6054.2,6057.500000000001,,1.1,0.5,6054.2,2025-01-30 13:05:00+00:00,loss,-1.0,SL,"$10,237.38",$511.87,1.1000000000003638,$-511.87,"$9,725.51",$0.00,$50.00,$0.00,"$10,000.00","$9,775.51",bullish,0 days 00:05:00,-1.1000000000003638
2025-01-30 13:25:00+00:00,6055.0,6054.0,6057.0,6055.3,1.0,0.5,6055.3,2025-01-30 13:30:00+00:00,win,0.3000000000001819,TSL,"$9,725.51",$486.28,1.0,$145.88,"$9,871.39",$0.00,$50.00,$0.00,"$10,000.00","$9,921.39",bullish,0 days 00:05:00,0.3000000000001819
2025-01-30 13:35:00+00:00,6057.8,6051.4,6070.600000000001,,6.4,0.5,6051.4,2025-01-30 13:40:00+00:00,loss,-1.0,SL,"$9,871.39",$493.57,6.400000000000546,$-493.57,"$9,377.82",$0.00,$50.00,$0.00,"$10,000.00","$9,427.82",bullish,0 days 00:05:00,-6.400000000000546
2025-01-30 14:10:00+00:00,6060.8,6057.8,6066.8,,3.0,0.5,6057.8,2025-01-30 14:15:00+00:00,loss,-1.0,SL,"$9,377.82",$468.89,3.0,$-468.89,"$8,908.93",$0.00,$50.00,$0.00,"$10,000.00","$8,958.93",bullish,0 days 00:05:00,-3.0
2025-01-30 15:05:00+00:00,6060.7,6053.8,6074.499999999999,,6.9,0.4,6053.8,2025-01-30 15:25:00+00:00,loss,-1.0,SL,"$8,908.93",$445.45,6.899999999999636,$-445.45,"$8,463.48",$0.00,$50.00,$0.00,"$10,000.00","$8,513.48",bullish,0 days 00:20:00,-6.899999999999636
2025-01-30 16:05:00+00:00,6038.2,6032.6,6049.399999999999,,5.6,0.4,6032.6,2025-01-30 16:10:00+00:00,loss,-1.0,SL,"$8,463.48",$423.17,5.599999999999454,$-423.17,"$8,040.31",$0.00,$50.00,$0.00,"$10,000.00","$8,090.31",bullish,0 days 00:05:00,-5.599999999999454
